title,author,letter,entry_number,title_length,author_last_name,genre_hints
Open,Andre Agassi,O,45,4,Agassi,General Fiction
A Death in the Family,James Agee,A,36,21,Agee,General Fiction
The Other Side of the Sky,Farah Ahmedi,O,54,25,Ahmedi,General Fiction
The Serial Garden,Joan Aiken,S,93,17,Aiken,General Fiction
Zen Master Raven,Robert Aitken,Z,55,16,Aitken,General Fiction
The Goat,Edward Albee,G,97,8,Albee,General Fiction
The Zoo Story,Edward Albee,Z,2,13,Albee,General Fiction
The Five People You Meet in Heaven,Mitch Albom,F,16,34,Albom,General Fiction
Eight Cousins,Louisa May Alcott,E,63,13,Alcott,General Fiction
Little Women,Louisa May Alcott,L,3,12,Alcott,Children
The Power,Naomi Alderman,P,20,9,Alderman,General Fiction
Frankenstein Unbound,Brian Aldiss,F,42,20,Aldiss,General Fiction
The Kestrel,Lloyd Alexander,K,47,11,Alexander,General Fiction
The New Jim Crow,Michelle Alexander,N,37,16,Alexander,General Fiction
The Kitchen Boy,Robert Alexander,K,64,15,Alexander,General Fiction
Flight,Sherman Alexie,F,100,6,Alexie,General Fiction
The Absolutely True Diary of a Part-Time Indian,Sherman Alexie,A,79,47,Alexie,General Fiction
You Don't Have to Say You Love Me,Sherman Alexie,Y,62,33,Alexie,Romance
Voices from Chernobyl,Svetlana Alexievich,V,68,21,Alexievich,General Fiction
Walk on the Wild Side,Nelson Algren,W,77,21,Algren,General Fiction
Infidel,Ayaan Hirsi Ali,I,58,7,Ali,General Fiction
I Will Always Write Back,Caitlin Alifirenka,I,92,24,Alifirenka,General Fiction
The Divine Comedy,Dante Alighieri,D,14,17,Alighieri,General Fiction
The Inferno,Dante Alighieri,I,38,11,Alighieri,General Fiction
The Rift,Nina Allan,R,96,8,Allan,General Fiction
Getting Things Done,David Allen,G,31,19,Allen,General Fiction
Escaping the Endless Adolescence,Joseph Allen,E,80,32,Allen,General Fiction
Queer Eye for the Straight Guy,Ted Allen,Q,44,30,Allen,General Fiction
The House of the Spirits,Isabel Allende,H,39,24,Allende,General Fiction
The House of the Spirits,Isabel Allende,T,52,24,Allende,General Fiction
The Japanese Lover,Isabel Allende,J,39,18,Allende,Romance
Zorro,Isabel Allende,Z,7,5,Allende,General Fiction
Bastard Out of Carolina,Dorothy Allison,B,51,23,Allison,General Fiction
Videocracy,Kevin Allocca,V,70,10,Allocca,General Fiction
The Polar Express,Chris Van Allsburg,P,19,17,Allsburg,General Fiction
In the Time of the Butterflies,Julia Alvarez,I,10,30,Alvarez,General Fiction
Band of Brothers,Stephen Ambrose,B,25,16,Ambrose,General Fiction
Crazy Horse and Custer,Stephen Ambrose,C,61,22,Ambrose,General Fiction
Undaunted Courage,Stephen Ambrose,U,11,17,Ambrose,General Fiction
You Were Never Really Here,Jonathan Ames,Y,48,26,Ames,General Fiction
Lucky Jim,Kingsley Amis,L,16,9,Amis,General Fiction
The Old Devils,Kingsley Amis,O,58,14,Amis,General Fiction
Money,Martin Amis,M,86,5,Amis,General Fiction
The Zone of Interest,Martin Amis,Z,5,20,Amis,General Fiction
The Zone of Interest,Martin Amis,Z,98,20,Amis,General Fiction
"Bless Me, Ultima",Rudolfo Anaya,B,30,16,Anaya,General Fiction
The Snow Queen,Hans Christian Andersen,S,95,14,Andersen,General Fiction
X-Files: Antibodies,Kevin J. Anderson,X,48,19,Anderson,General Fiction
X-Files: Ground Zero,Kevin J. Anderson,X,44,20,Anderson,General Fiction
X-Files: Ruins,Kevin J. Anderson,X,46,14,Anderson,General Fiction
X-Files: Spoils of War,Kevin J. Anderson,X,52,22,Anderson,War/Military
Chains,Laurie Halse Anderson,C,53,6,Anderson,General Fiction
The Queen of Air and Darkness,Poul Anderson,Q,27,29,Anderson,General Fiction
"Winesburg, Ohio",Sherwood Anderson,W,34,15,Anderson,General Fiction
Flowers in the Attic,V.C. Andrews,F,37,20,Andrews,General Fiction
I Know Why the Caged Bird Sings,Maya Angelou,I,7,31,Angelou,General Fiction
Woman: An Intimate Geography,Natalie Angier,W,73,28,Angier,General Fiction
Yurugu,Marimba Ani,Y,17,6,Ani,General Fiction
Beowulf,Anonymous,B,12,7,Anonymous,General Fiction
The Arabian Nights,Anonymous,A,34,18,Anonymous,General Fiction
The Epic of Gilgamesh,Anonymous,E,28,21,Anonymous,General Fiction
Vinegar Hill,A. Manette Ansay,V,90,12,Ansay,General Fiction
The One and Only Ivan,K.A. Applegate,O,90,21,Applegate,General Fiction
The Golden Ass,Apuleius,G,80,14,Apuleius,General Fiction
The Human Condition,Hannah Arendt,H,51,19,Arendt,General Fiction
The Great Transformation,Karen Armstrong,G,42,24,Armstrong,General Fiction
The Quantum Rose,Catherine Asaro,Q,31,16,Asaro,General Fiction
The Zaddik,Sholem Asch,Z,50,10,Asch,General Fiction
The Quest for Arthur's Britain,Geoffrey Ashe,Q,77,30,Ashe,General Fiction
Zero Point,Neal Asher,Z,41,10,Asher,General Fiction
Foundation,Isaac Asimov,F,12,10,Asimov,Science Fiction
"I, Robot",Isaac Asimov,I,18,8,Asimov,Science Fiction | Science Fiction
Nightfall,Isaac Asimov,N,54,9,Asimov,Science Fiction
Second Foundation,Isaac Asimov,S,61,17,Asimov,Science Fiction
The Yacoubian Building,Alaa Al Aswany,T,46,22,Aswany,General Fiction
The Yacoubian Building,Alaa Al Aswany,Y,8,22,Aswany,General Fiction
Life After Life,Kate Atkinson,L,67,15,Atkinson,General Fiction
Alias Grace,Margaret Atwood,A,65,11,Atwood,General Fiction
The Blind Assassin,Margaret Atwood,B,24,18,Atwood,General Fiction
The Blind Assassin,Margaret Atwood,T,47,18,Atwood,General Fiction
The Edible Woman,Margaret Atwood,E,45,16,Atwood,General Fiction
The Handmaid's Tale,Margaret Atwood,H,2,19,Atwood,General Fiction
The Handmaid's Tale,Margaret Atwood,H,14,19,Atwood,General Fiction
The Handmaid's Tale,Margaret Atwood,T,8,19,Atwood,General Fiction
The Penelopiad,Margaret Atwood,P,33,14,Atwood,General Fiction
The Robber Bride,Margaret Atwood,R,30,16,Atwood,General Fiction
The Year of the Flood,Margaret Atwood,Y,33,21,Atwood,General Fiction
The Clan of the Cave Bear,Jean M. Auel,C,20,25,Auel,General Fiction
The Confessions,Augustine,C,50,15,Augustine,General Fiction
Emma,Jane Austen,E,2,4,Austen,General Fiction
Lady Susan,Jane Austen,L,51,10,Austen,General Fiction
Mansfield Park,Jane Austen,M,49,14,Austen,General Fiction
Mansfield Park,Jane Austen,M,69,14,Austen,General Fiction
Mansfield Park,Jane Austen,M,88,14,Austen,General Fiction
Northanger Abbey,Jane Austen,N,7,16,Austen,General Fiction
Persuasion,Jane Austen,P,3,10,Austen,General Fiction
Pride and Prejudice,Jane Austen,P,1,19,Austen,General Fiction
Sense and Sensibility,Jane Austen,S,5,21,Austen,General Fiction
The Book of Illusions,Paul Auster,B,94,21,Auster,General Fiction
Zen and the Brain,James H. Austin,Z,43,17,Austin,General Fiction
The Magnificent Seven,Various Authors,M,46,21,Authors,General Fiction
The Maltese Cross,Various Authors,M,52,17,Authors,General Fiction
The Matrix,Various Authors,M,4,10,Authors,General Fiction
The Quest,Various Authors,Q,89,9,Authors,General Fiction
The X-Files,Various Authors,X,3,11,Authors,General Fiction
X-23,Various Authors,X,14,4,Authors,General Fiction
X-Factor,Various Authors,X,10,8,Authors,General Fiction
X-Force,Various Authors,X,5,7,Authors,General Fiction
X-Men,Various Authors,X,1,5,Authors,General Fiction
X-Men Evolution,Various Authors,X,32,15,Authors,General Fiction
X-Men Origins,Various Authors,X,24,13,Authors,General Fiction
X-Men: Age of Apocalypse,Various Authors,X,33,24,Authors,General Fiction
X-Men: Age of X,Various Authors,X,57,15,Authors,General Fiction
X-Men: Amazing X-Men,Various Authors,X,69,20,Authors,General Fiction
X-Men: Apocalypse,Various Authors,X,25,17,Authors,General Fiction
X-Men: Avengers vs. X-Men,Various Authors,X,61,25,Authors,General Fiction
X-Men: Battle of the Atom,Various Authors,X,63,25,Authors,War/Military
X-Men: Cable,Various Authors,X,83,12,Authors,General Fiction
X-Men: Civil War,Various Authors,X,37,16,Authors,War/Military
X-Men: Cyclops,Various Authors,X,93,14,Authors,General Fiction
X-Men: Dark Phoenix,Various Authors,X,27,19,Authors,General Fiction
X-Men: Deadpool,Various Authors,X,85,15,Authors,General Fiction
X-Men: Excalibur,Various Authors,X,77,16,Authors,General Fiction
X-Men: Fall of the Mutants,Various Authors,X,47,26,Authors,General Fiction
X-Men: Fatal Attractions,Various Authors,X,53,24,Authors,General Fiction
X-Men: First Class,Various Authors,X,29,18,Authors,General Fiction
X-Men: Gambit,Various Authors,X,87,13,Authors,General Fiction
X-Men: Generation X,Various Authors,X,79,19,Authors,General Fiction
X-Men: Inferno,Various Authors,X,49,14,Authors,General Fiction
X-Men: Jean Grey,Various Authors,X,95,16,Authors,General Fiction
X-Men: Magneto,Various Authors,X,99,14,Authors,General Fiction
X-Men: Messiah Complex,Various Authors,X,41,22,Authors,General Fiction
X-Men: Mutant Massacre,Various Authors,X,45,22,Authors,General Fiction
X-Men: New Mutants,Various Authors,X,75,18,Authors,General Fiction
X-Men: Phalanx Covenant,Various Authors,X,55,23,Authors,General Fiction
X-Men: Professor X,Various Authors,X,97,18,Authors,General Fiction
X-Men: Rogue,Various Authors,X,89,12,Authors,General Fiction
X-Men: Second Coming,Various Authors,X,39,20,Authors,General Fiction
X-Men: Storm,Various Authors,X,91,12,Authors,General Fiction
X-Men: The Last Stand,Various Authors,X,30,21,Authors,General Fiction
X-Men: Uncanny X-Men,Various Authors,X,67,20,Authors,General Fiction
X-Men: X-Force,Various Authors,X,73,14,Authors,General Fiction
X-Men: X-Tinction Agenda,Various Authors,X,51,24,Authors,General Fiction
X-O Manowar,Various Authors,X,17,11,Authors,War/Military
X-Statix,Various Authors,X,18,8,Authors,General Fiction
X-Treme X-Men,Various Authors,X,19,13,Authors,General Fiction
X-Universe,Various Authors,X,20,10,Authors,General Fiction
Xylem,Various Authors,X,13,5,Authors,General Fiction
Xylem and Phloem,Various Authors,X,26,16,Authors,General Fiction
Young Adult,Various Authors,Y,19,11,Authors,General Fiction
King's Cage,Victoria Aveyard,K,70,11,Aveyard,General Fiction
Bunny,Mona Awad,B,71,5,Awad,General Fiction
Illusions,Richard Bach,I,51,9,Bach,General Fiction
Jonathan Livingston Seagull,Richard Bach,J,6,27,Bach,General Fiction
You're the One That I Want,Giovanni Bacigalupi,Y,52,26,Bacigalupi,General Fiction
The Windup Girl,Paolo Bacigalupi,W,27,15,Bacigalupi,General Fiction
A Man Called Ove,Fredrik Backman,A,75,16,Backman,General Fiction
Anxious People,Fredrik Backman,A,74,14,Backman,General Fiction
Pure,Julianna Baggott,P,98,4,Baggott,General Fiction
The Question of Max,Linda Bailey,Q,57,19,Bailey,General Fiction
The Yoga of Max's Discontent,Karan Bajaj,Y,18,28,Bajaj,General Fiction
Josephine Baker,Jean-Claude Baker,J,93,15,Baker,General Fiction
The Queen of Stone,Keith Baker,Q,29,18,Baker,General Fiction
The Keeper of Night,Kylie Lee Baker,K,98,19,Baker,General Fiction
The Darkness That Comes Before,R. Scott Bakker,D,95,30,Bakker,General Fiction
Redemption,David Baldacci,R,90,10,Baldacci,General Fiction
The Camel Club,David Baldacci,C,88,14,Baldacci,General Fiction
Zero Day,David Baldacci,Z,57,8,Baldacci,General Fiction
Another Country,James Baldwin,A,37,15,Baldwin,General Fiction
The Fire Next Time,James Baldwin,F,45,18,Baldwin,General Fiction
You Lost Me There,Rosecrans Baldwin,Y,38,17,Baldwin,General Fiction
American Beauty,Alan Ball,A,63,15,Ball,General Fiction
Empire of the Sun,J.G. Ballard,E,31,17,Ballard,General Fiction
The Drowned World,J.G. Ballard,D,76,17,Ballard,General Fiction
The Kindness of Women,J.G. Ballard,K,40,21,Ballard,General Fiction
The Good Neighbour,A.J. Banner,G,72,18,Banner,General Fiction
The Sea,John Banville,S,17,7,Banville,General Fiction
The Journal of a Disappointed Man,W.N.P. Barbellion,J,96,33,Barbellion,General Fiction
The Noise Downstairs,Linwood Barclay,N,95,20,Barclay,General Fiction
Lunch in Paris,Elizabeth Bard,L,87,14,Bard,General Fiction
Ninth House,Leigh Bardugo,N,38,11,Bardugo,General Fiction
Ruin and Rising,Leigh Bardugo,R,100,15,Bardugo,General Fiction
The Six of Crows,Leigh Bardugo,S,60,16,Bardugo,General Fiction
Weaveworld,Clive Barker,W,75,10,Barker,General Fiction
Regeneration,Pat Barker,R,48,12,Barker,General Fiction
Nightwood,Djuna Barnes,N,23,9,Barnes,General Fiction
The History of the World in 10½ Chapters,Julian Barnes,H,41,40,Barnes,Biography/History
The Noise of Time,Julian Barnes,N,72,17,Barnes,General Fiction
The Only Story,Julian Barnes,O,48,14,Barnes,General Fiction
The Sense of an Ending,Julian Barnes,S,86,22,Barnes,General Fiction
Zero Degrees of Empathy,Simon Baron-Cohen,Z,37,23,Baron-Cohen,General Fiction
Cloudy with a Chance of Meatballs,Judi Barrett,C,49,33,Barrett,General Fiction
Peter Pan,J.M. Barrie,P,9,9,Barrie,General Fiction
Quality Street,J.M. Barrie,Q,30,14,Barrie,General Fiction
Quality Street,J.M. Barrie,Q,92,14,Barrie,General Fiction
Unexpected Joy,Kim Barrington,U,41,14,Barrington,General Fiction
The Lace Reader,Brunonia Barry,L,63,15,Barry,General Fiction
Jennifer Government,Max Barry,J,38,19,Barry,General Fiction
The Floating Opera,John Barth,F,61,18,Barth,General Fiction
Queen Sugar,Natalie Baszile,Q,76,11,Baszile,General Fiction
Hope Was Here,Joan Bauer,H,64,13,Bauer,General Fiction
The Patchwork Girl of Oz,L. Frank Baum,P,96,24,Baum,General Fiction
The Wonderful Wizard of Oz,L. Frank Baum,W,9,26,Baum,Fantasy
The Feast of Love,Charles Baxter,F,40,17,Baxter,Romance
Flux,Stephen Baxter,F,62,4,Baxter,General Fiction
Xeelee Sequence,Stephen Baxter,X,4,15,Baxter,General Fiction
"Run Silent, Run Deep",Edward L. Beach,R,43,20,Beach,General Fiction
The Last Unicorn,Peter S. Beagle,L,19,16,Beagle,General Fiction
The Sellout,Paul Beatty,S,44,11,Beatty,General Fiction
The White Boy Shuffle,Paul Beatty,W,51,21,Beatty,General Fiction
The Knight of the Burning Pestle,Francis Beaumont,T,79,32,Beaumont,General Fiction
The Maid's Tragedy,Francis Beaumont,T,80,18,Beaumont,General Fiction
The Philaster,Francis Beaumont,T,81,13,Beaumont,General Fiction
Inseparable,Simone de Beauvoir,I,96,11,Beauvoir,General Fiction
Endgame,Samuel Beckett,E,44,7,Beckett,General Fiction
Waiting for Godot,Samuel Beckett,W,30,17,Beckett,General Fiction
Never Ending,Martyn Bedford,N,43,12,Bedford,General Fiction
Zuleika Dobson,Max Beerbohm,Z,4,14,Beerbohm,General Fiction
Zuleika Dobson,Max Beerbohm,Z,25,14,Beerbohm,General Fiction
The Law of Dreams,Peter Behrens,L,66,17,Behrens,General Fiction
The Queen of Swords,R.S. Belcher,Q,81,19,Belcher,General Fiction
The Paris Architect,Charles Belfoure,P,94,19,Belfoure,General Fiction
The Jaguar Princess,Clare Bell,J,98,19,Bell,General Fiction
Looking Backward,Edward Bellamy,L,82,16,Bellamy,War/Military
Seize the Day,Saul Bellow,S,36,13,Bellow,General Fiction
Victim,Saul Bellow,V,8,6,Bellow,General Fiction
Madeline,Ludwig Bemelmans,M,57,8,Bemelmans,General Fiction
Jaws,Peter Benchley,J,22,4,Benchley,General Fiction
The Particular Sadness of Lemon Cake,Aimee Bender,P,24,36,Bender,General Fiction
X-Men: All-New X-Men,Brian Michael Bendis,X,65,20,Bendis,General Fiction
X-Men: House of M,Brian Michael Bendis,X,35,17,Bendis,General Fiction
The Other Einstein,Marie Benedict,O,62,18,Benedict,General Fiction
City of Thieves,David Benioff,C,52,15,Benioff,General Fiction
The Immortalists,Chloe Benjamin,I,76,16,Benjamin,General Fiction
The History Boys,Alan Bennett,H,23,16,Bennett,Biography/History
The Uncommon Reader,Alan Bennett,U,57,19,Bennett,General Fiction
Entering the Stream,Samuel Bercholz,E,66,19,Bercholz,General Fiction
Midnight in the Garden of Good and Evil,John Berendt,M,67,39,Berendt,General Fiction
Open House,Elizabeth Berg,O,91,10,Berg,General Fiction
The Joy School,Elizabeth Berg,J,58,14,Berg,General Fiction
The Year of Pleasures,Elizabeth Berg,Y,81,21,Berg,General Fiction
Until the Real Thing Comes Along,Elizabeth Berg,U,84,32,Berg,General Fiction
Dirty Dancing,Eleanor Bergstein,D,85,13,Bergstein,General Fiction
The Unfinished Work of Elizabeth D.,Nichole Bernier,U,93,35,Bernier,General Fiction
The Lovely War,Julie Berry,L,60,14,Berry,Romance | War/Military
The Venetian Betrayal,Steve Berry,V,95,21,Berry,General Fiction
Klondike,Pierre Berton,K,26,8,Berton,General Fiction
The Joy of Writing,Pierre Berton,J,76,18,Berton,General Fiction
June,Miranda Beverly-Whittemore,J,90,4,Beverly-Whittemore,General Fiction
American Prometheus,Kai Bird,A,77,19,Bird,General Fiction
On Immunity,Eula Biss,O,97,11,Biss,General Fiction
Friday Night Lights,H.G. Bissinger,F,84,19,Bissinger,General Fiction
Burning Down the House,Neil Bissoondath,B,97,22,Bissoondath,General Fiction
The Darkest Part of the Forest,Holly Black,D,98,30,Black,General Fiction
You're Not Doing It Right,Michael Ian Black,Y,34,25,Black,General Fiction
The Willows,Algernon Blackwood,W,74,11,Blackwood,General Fiction
The Postmistress,Sarah Blake,P,90,16,Blake,General Fiction
The Joy of Pi,David Blatner,J,41,13,Blatner,General Fiction
The Exorcist,William Peter Blatty,E,9,12,Blatty,General Fiction
Psycho,Robert Bloch,P,8,6,Bloch,General Fiction
The Zen Teaching of Huang Po,John Blofeld,Z,26,28,Blofeld,General Fiction
White Houses,Amy Bloom,W,89,12,Bloom,General Fiction
The Poisoner's Handbook,Deborah Blum,P,29,23,Blum,General Fiction
Iron John,Robert Bly,I,40,9,Bly,General Fiction
The Folk of the Faraway Tree,Enid Blyton,F,73,28,Blyton,General Fiction
Zero Dark Thirty,Mark Boal,Z,16,16,Boal,General Fiction
The Decameron,Giovanni Boccaccio,D,69,13,Boccaccio,General Fiction
The Year Everything Changed,Georgia Bockoven,Y,65,27,Bockoven,General Fiction
The Consolation of Philosophy,Boethius,C,39,29,Boethius,General Fiction
The House of Tomorrow,Peter Bognanni,H,79,21,Bognanni,General Fiction
The Night Strangers,Chris Bohjalian,N,62,19,Bohjalian,General Fiction
The Other Woman,Therese Bohman,O,75,15,Bohman,General Fiction
The Savage Detectives,Roberto Bolaño,S,31,21,Bolaño,Mystery/Crime
Zen and the Art of Making a Living,Laurence G. Boldt,Z,75,34,Boldt,General Fiction
Behind the Beautiful Forevers,Katherine Boo,B,42,29,Boo,General Fiction
The Hiding Place,Corrie ten Boom,H,46,16,Boom,General Fiction
Yoga and the Bible,Susan Bordenkircher,Y,80,18,Bordenkircher,General Fiction
The Dharma of Star Wars,Matthew Bortolin,D,79,23,Bortolin,War/Military
Life of Samuel Johnson,James Boswell,L,96,22,Boswell,Biography/History
Kitchen Confidential,Anthony Bourdain,K,13,20,Bourdain,General Fiction
Black Hawk Down,Mark Bowden,B,44,15,Bowden,General Fiction
Brazzaville Beach,William Boyd,B,64,17,Boyd,General Fiction
The World's End,T.C. Boyle,W,66,15,Boyle,General Fiction
The Darkest Minds,Alexandra Bracken,D,84,17,Bracken,General Fiction
Dandelion Wine,Ray Bradbury,D,35,14,Bradbury,Science Fiction
Fahrenheit 451,Ray Bradbury,F,1,14,Bradbury,Science Fiction
Something Wicked This Way Comes,Ray Bradbury,S,26,31,Bradbury,Science Fiction
Zen in the Art of Writing,Ray Bradbury,Z,14,25,Bradbury,Science Fiction
Voice of the Heart,Barbara Taylor Bradford,V,54,18,Bradford,Romance
The Sweetness at the Bottom of the Pie,Alan Bradley,S,33,38,Bradley,General Fiction
The Firebrand,Marion Zimmer Bradley,F,81,13,Bradley,General Fiction
The Forest House,Marion Zimmer Bradley,F,67,16,Bradley,General Fiction
The Mists of Avalon,Marion Zimmer Bradley,M,36,19,Bradley,General Fiction
The Unthinkable Thoughts of Jacob Green,Joshua Braff,U,42,39,Braff,General Fiction
Garden State,Zach Braff,G,36,12,Braff,General Fiction
The Sisterhood of the Traveling Pants,Ann Brashares,S,54,37,Brashares,General Fiction
The Demon Cycle,Peter V. Brett,D,96,15,Brett,General Fiction
Hunting Ground,Patricia Briggs,H,89,14,Briggs,General Fiction
The Rival,Sheridan Richard Brinsley,R,20,9,Brinsley,General Fiction
The Unsung Hero,Suzanne Brockmann,U,46,15,Brockmann,General Fiction
The Brief History of the Dead,Kevin Brockmeier,B,83,29,Brockmeier,Biography/History
Karma Queen,Jessica Brody,K,90,11,Brody,General Fiction
Driven,K. Bromberg,D,70,6,Bromberg,General Fiction
Illuminated,Matt Bronleewe,I,72,11,Bronleewe,General Fiction
Jane Eyre,Charlotte Brontë,J,1,9,Brontë,General Fiction
The Professor,Charlotte Brontë,P,87,13,Brontë,General Fiction
Villette,Charlotte Brontë,V,6,8,Brontë,General Fiction
Wuthering Heights,Emily Brontë,W,2,17,Brontë,General Fiction
Quite Ugly One Morning,Christopher Brookmyre,Q,78,22,Brookmyre,General Fiction
Understanding Poetry,Cleanth Brooks,U,97,20,Brooks,General Fiction
Caleb's Crossing,Geraldine Brooks,C,58,16,Brooks,General Fiction
Year of Wonders,Geraldine Brooks,Y,12,15,Brooks,General Fiction
The Zombie Survival Guide,Max Brooks,Z,44,25,Brooks,General Fiction
Zombie Survival Guide,Max Brooks,Z,12,21,Brooks,General Fiction
The Yellow House,Sarah M. Broom,Y,45,16,Broom,General Fiction
Atlas of the Heart,Brené Brown,A,68,18,Brown,Romance
Daring Greatly,Brené Brown,D,38,14,Brown,General Fiction
The Gifts of Imperfection,Brené Brown,G,91,25,Brown,General Fiction
Angels & Demons,Dan Brown,A,18,15,Brown,General Fiction
The Da Vinci Code,Dan Brown,D,3,17,Brown,General Fiction
The Da Vinci Code,Dan Brown,T,29,17,Brown,General Fiction
The Lost Symbol,Dan Brown,L,54,15,Brown,General Fiction
Bury My Heart at Wounded Knee,Dee Brown,B,19,29,Brown,Romance
The Zen of Cooking,Edward Espe Brown,Z,94,18,Brown,General Fiction
Jacksonville,Eli Brown,J,82,12,Brown,General Fiction
Goodnight Moon,Margaret Wise Brown,G,18,14,Brown,General Fiction
The Curious Garden,Peter Brown,C,94,18,Brown,General Fiction
Kafka Was the Rage,Anatole Broyard,K,80,18,Broyard,General Fiction
The Guards,Ken Bruen,G,52,10,Bruen,General Fiction
Vulcan's Forge,Jack Du Brul,V,100,14,Brul,General Fiction
Question Time,Julia Bryant,Q,74,13,Bryant,General Fiction
A Short History of Nearly Everything,Bill Bryson,A,50,36,Bryson,Biography/History
Bill Bryson's African Diary,Bill Bryson,B,63,27,Bryson,General Fiction
In a Sunburned Country,Bill Bryson,I,36,22,Bryson,General Fiction
Notes from a Small Island,Bill Bryson,N,80,25,Bryson,General Fiction
One Summer,Bill Bryson,O,53,10,Bryson,General Fiction
The Daring Book for Girls,Andrea Buchanan,D,87,25,Buchanan,General Fiction
The Painted Girls,Cathy Marie Buchanan,P,36,17,Buchanan,General Fiction
You Only Die Twice,Edna Buchanan,Y,72,18,Buchanan,General Fiction
The Good Earth,Pearl S. Buck,G,11,14,Buck,General Fiction
Heat,Bill Buford,H,50,4,Buford,General Fiction
Women,Charles Bukowski,W,50,5,Bukowski,General Fiction
The Master and Margarita,Mikhail Bulgakov,M,12,24,Bulgakov,General Fiction
The Master and Margarita,Mikhail Bulgakov,T,54,24,Bulgakov,General Fiction
The Domino Effect,Davis Bunn,D,61,17,Bunn,General Fiction
Pilgrim's Progress,John Bunyan,P,25,18,Bunyan,General Fiction
The Pilgrim's Progress,John Bunyan,P,92,22,Bunyan,General Fiction
A Clockwork Orange,Anthony Burgess,A,10,18,Burgess,General Fiction
The Antidote,Oliver Burkeman,A,81,12,Burkeman,General Fiction
The Zone Between,Larry Burkett,Z,64,16,Burkett,General Fiction
Little Lord Fauntleroy,Frances Hodgson Burnett,L,58,22,Burnett,Children
The Secret Garden,Frances Hodgson Burnett,S,6,17,Burnett,General Fiction
The Incredible Journey,Sheila Burnford,I,16,22,Burnford,General Fiction
Cold Sassy Tree,Olive Ann Burns,C,31,15,Burns,General Fiction
Heaven Is for Real,Todd Burpo,H,92,18,Burpo,General Fiction
Dry,Augusten Burroughs,D,92,3,Burroughs,General Fiction
Running with Scissors,Augusten Burroughs,R,74,21,Burroughs,General Fiction
Naked Lunch,William S. Burroughs,N,44,11,Burroughs,General Fiction
Queer,William S. Burroughs,Q,26,5,Burroughs,General Fiction
The Yage Letters,William S. Burroughs,Y,31,16,Burroughs,General Fiction
The Miniaturist,Jessie Burton,M,83,15,Burton,General Fiction
The Anatomy of Melancholy,Robert Burton,A,73,25,Burton,General Fiction
The Year We Disappeared,Cylin Busby,Y,47,23,Busby,General Fiction
Dresden Files,Jim Butcher,D,99,13,Butcher,General Fiction
Kindred,Octavia Butler,K,11,7,Butler,General Fiction
Parable of the Sower,Octavia E. Butler,P,35,20,Butler,General Fiction
Parable of the Talents,Octavia E. Butler,P,91,22,Butler,General Fiction
Xenogenesis,Octavia E. Butler,X,8,11,Butler,General Fiction
The Way of All Flesh,Samuel Butler,W,3,20,Butler,General Fiction
Hollow Kingdom,Kira Jane Buxton,H,97,14,Buxton,General Fiction
The Yellow-Lighted Bookshop,Lewis Buzbee,Y,75,27,Buzbee,Fantasy
Possession,A.S. Byatt,P,37,10,Byatt,General Fiction
